-84.351360 33.918868;-84.353550 33.918895
-84.350620 33.918868;-84.351360 33.918868
-84.352110 33.962646;-84.350312 33.965258
-84.356318 33.956847;-84.355217 33.958708
-84.351520 33.989008;-84.351706 33.989715
-84.350289 33.980507;-84.350245 33.980963
-84.356459 33.943728;-84.356263 33.943746
-84.356263 33.943746;-84.356002 33.943746
-84.357386 33.945688;-84.357407 33.946296
-84.357527 33.947245;-84.357506 33.947406
-84.357506 33.947406;-84.357593 33.947898
-84.345660 33.920580;-84.345430 33.920590
-84.345820 33.920570;-84.345660 33.920580
-84.345930 33.920560;-84.345820 33.920570
-84.346030 33.920550;-84.345930 33.920560
-84.346130 33.920530;-84.346030 33.920550
-84.346240 33.920510;-84.346130 33.920530
-84.346340 33.920480;-84.346240 33.920510
-84.346440 33.920450;-84.346340 33.920480
-84.346530 33.920410;-84.346440 33.920450
-84.346630 33.920370;-84.346530 33.920410
-84.346720 33.920320;-84.346630 33.920370
-84.346810 33.920270;-84.346720 33.920320
-84.346900 33.920210;-84.346810 33.920270
-84.346990 33.920150;-84.346900 33.920210
-84.347070 33.920090;-84.346990 33.920150
-84.347150 33.920020;-84.347070 33.920090
-84.347590 33.919590;-84.347150 33.920020
-84.347890 33.919310;-84.347590 33.919590
-84.348220 33.918960;-84.347890 33.919310
-84.348450 33.918840;-84.348220 33.918960
-84.348450 33.918840;-84.348740 33.918760
-84.348740 33.918760;-84.349180 33.918730
-84.349180 33.918730;-84.349560 33.918750
-84.349560 33.918750;-84.349960 33.918810
-84.349960 33.918810;-84.350620 33.918870
-84.356990 33.918850;-84.353550 33.918900
-84.357740 33.918850;-84.356990 33.918850
-84.357960 33.918850;-84.357740 33.918850
-84.357960 33.918850;-84.359940 33.918960
-84.360550 33.918960;-84.359940 33.918960
-84.363720 33.918930;-84.360550 33.918960
-84.364110 33.918930;-84.363720 33.918930
-84.379230 33.922810;-84.379180 33.924040
-84.379240 33.922090;-84.379230 33.922810
-84.379090 33.920060;-84.379240 33.922090
-84.379060 33.919080;-84.379090 33.920060
-84.345430 33.920590;-84.345300 33.920620
-84.345300 33.920620;-84.345040 33.920640
-84.345040 33.920640;-84.344330 33.920640
-84.347950 33.970170;-84.344420 33.977290
-84.348220 33.969470;-84.347950 33.970170
-84.350520 33.965350;-84.348220 33.969470
-84.352330 33.962740;-84.350520 33.965350
-84.354390 33.959920;-84.352330 33.962740
-84.355210 33.958710;-84.354390 33.959920
-84.357240 33.954850;-84.356320 33.956850
-84.357570 33.953830;-84.357240 33.954850
-84.357680 33.953220;-84.357570 33.953830
-84.357800 33.952380;-84.357680 33.953220
-84.357880 33.951690;-84.357800 33.952380
-84.357950 33.950530;-84.357880 33.951690
-84.358040 33.950370;-84.357950 33.950530
-84.358170 33.949280;-84.358040 33.950370
-84.358210 33.948840;-84.358170 33.949280
-84.358270 33.947710;-84.358210 33.948840
-84.358340 33.945970;-84.358270 33.947710
-84.358360 33.945340;-84.358340 33.945970
-84.358350 33.944920;-84.358360 33.945340
-84.358300 33.944670;-84.358350 33.944920
-84.358250 33.944520;-84.358300 33.944670
-84.358130 33.944310;-84.358250 33.944520
-84.357950 33.944110;-84.358130 33.944310
-84.357610 33.943880;-84.357950 33.944110
-84.357340 33.943780;-84.357610 33.943880
-84.357060 33.943720;-84.357340 33.943780
-84.356900 33.943710;-84.357060 33.943720
-84.356670 33.943700;-84.356900 33.943710
-84.356010 33.943750;-84.355910 33.943800
-84.355910 33.943800;-84.355890 33.943890
-84.355890 33.943890;-84.356000 33.943960
-84.356000 33.943960;-84.356180 33.943970
-84.356180 33.943970;-84.357050 33.943960
-84.357050 33.943960;-84.357240 33.943970
-84.357240 33.943970;-84.357380 33.944080
-84.357380 33.944080;-84.357420 33.944190
-84.357420 33.944190;-84.357420 33.944300
-84.357390 33.945690;-84.357410 33.946300
-84.357410 33.946300;-84.357450 33.946670
-84.357450 33.946670;-84.357530 33.947250
-84.357600 33.947900;-84.357610 33.948210
-84.357610 33.948210;-84.357640 33.949040
-84.357640 33.949040;-84.357620 33.949900
-84.357620 33.950580;-84.357560 33.951640
-84.357560 33.951640;-84.357610 33.951760
-84.357610 33.951760;-84.357560 33.952360
-84.357560 33.952360;-84.357420 33.953250
-84.357420 33.953250;-84.357320 33.953810
-84.357320 33.953810;-84.357190 33.954240
-84.357190 33.954240;-84.356980 33.954760
-84.356980 33.954760;-84.356720 33.955280
-84.356720 33.955280;-84.356000 33.956920
-84.356000 33.956920;-84.355010 33.958620
-84.355010 33.958620;-84.354170 33.959810
-84.354170 33.959810;-84.352110 33.962650
-84.350310 33.965260;-84.348020 33.969410
-84.348020 33.969410;-84.347750 33.970080
-84.347750 33.970080;-84.344160 33.977200
-84.344160 33.977200;-84.341980 33.981570
-84.341980 33.981570;-84.341640 33.982240
-84.341640 33.982240;-84.341380 33.982790
-84.341090 33.983200;-84.341380 33.982790
-84.340970 33.983310;-84.341090 33.983200
-84.340680 33.983440;-84.340970 33.983310
-84.340520 33.983460;-84.340680 33.983440
-84.340350 33.983430;-84.340520 33.983460
-84.340190 33.983340;-84.340350 33.983430
-84.340100 33.983260;-84.340190 33.983340
-84.340060 33.983140;-84.340100 33.983260
-84.340040 33.983020;-84.340060 33.983140
-84.340090 33.982880;-84.340040 33.983020
-84.340350 33.982530;-84.340090 33.982880
